Time [s],Channel 0,Channel 1
2.972305500,0,0
2.972306000,1,0
2.972306500,0,0
2.972307000,1,0
2.972307500,0,1
2.972308000,1,1
2.972308500,0,1
2.972309000,1,1
2.972309500,0,1
2.972310000,1,1
2.972310500,0,0
2.972311000,1,0
2.972311250,0,0
2.972311750,1,0
2.972312250,0,0
2.972312500,0,1
2.972312750,1,1
2.972313250,0,1
2.972313750,1,1
2.972314250,0,0
2.972314750,1,0
2.972315250,0,0
2.972315750,1,0
2.972316250,0,1
2.972316750,1,1
2.972317250,0,1
2.972317750,1,1
2.972318250,0,0
2.972318750,1,0
2.972319250,0,1
2.972319750,1,1
2.972320250,0,0
2.972320750,1,0
2.972321250,0,0
2.972321500,1,0
2.972322000,0,0
2.972322250,0,1
2.972322500,1,1
2.972323000,0,1
2.972323500,1,1
2.972324000,0,0
2.972324500,1,0
2.972325000,0,0
2.972325500,1,0
2.972326000,0,1
2.972326500,1,1
2.972327000,0,0
2.972327500,1,0
2.972328000,0,1
2.972328500,1,1
2.972329000,0,0
2.972329500,1,0
2.972330000,0,1
2.972330500,1,1
2.972331000,0,1
2.972331500,1,1
2.972331750,0,0
2.972332250,1,0
2.972332750,0,0
2.972333250,1,0
2.972333750,0,0
2.972334250,1,0
2.972334750,0,1
2.972335250,1,1
2.972335750,0,1
2.972336250,1,1
2.972336750,0,1
2.972337250,1,1
2.972337750,0,0
2.972338250,1,0
2.972338750,0,0
2.972339250,1,0
2.972339750,0,1
2.972340250,1,1
2.972340750,0,1
2.972341250,1,1
2.972341750,0,1
2.972342000,1,1
2.972342500,0,0
2.972343000,1,0
2.972343500,0,0
2.972344000,1,0
2.972344500,0,0
2.972345000,1,0
2.972345500,0,0
2.972346000,1,0
2.972346500,0,1
2.972347000,1,1
2.972347500,0,1
2.972348000,1,1
2.972348500,0,1
2.972349000,1,1
2.972349500,0,0
2.972350000,1,0
2.972350500,0,0
2.972351000,1,0
2.972351500,0,0
2.972351750,1,0
2.972352250,0,0
2.972352500,0,1
2.972352750,1,1
2.972353250,0,0
2.972353500,0,1
2.972353750,1,1
2.972354250,0,1
2.972354750,1,1
2.972355250,0,0
2.972355750,1,0
2.972356250,0,0
2.972356750,1,0
2.972357250,0,1
2.972357750,1,1
2.972358250,0,0
2.972358750,1,0
2.972359250,0,1
2.972359750,1,1
2.972360250,0,1
2.972360750,1,1
2.972361250,0,0
2.972361750,1,0
2.972362000,0,0
2.972362500,1,0
2.972363000,0,0
2.972363250,0,1
2.972363500,1,1
2.972364000,0,0
2.972364500,1,0
2.972365000,0,1
2.972365500,1,1
2.972366000,0,0
2.972366500,1,0
2.972367000,0,1
2.972367500,1,1
2.972368000,0,1
2.972368500,1,1
2.972369000,0,0
2.972369500,1,0
2.972370000,0,0
2.972370500,1,0
2.972371000,0,0
2.972371500,1,0
2.972372000,0,1
2.972372250,1,1
2.972372750,0,0
2.972373000,0,1
2.972373250,1,1
2.972373750,0,0
2.972374250,1,0
2.972374750,0,1
2.972375250,1,1
2.972375750,0,1
2.972376250,1,1
2.972376750,0,0
2.972377250,1,0
2.972377750,0,0
2.972378250,1,0
2.972378750,0,0
2.972379250,1,0
2.972379750,0,1
2.972380250,1,1
2.972380750,0,1
2.972381250,1,1
2.972381750,0,1
2.972382250,1,1
2.972382500,0,0
2.972383000,1,0
2.972383500,0,0
2.972384000,1,0
2.972384500,0,1
2.972385000,1,1
2.972385500,0,1
2.972386000,1,1
2.972386500,0,0
2.972387000,1,0
2.972387500,0,0
2.972388000,1,0
2.972388500,0,0
2.972389000,1,0
2.972389500,0,1
2.972390000,1,1
2.972390500,0,1
2.972391000,1,1
2.972391500,0,0
2.972392000,1,0
2.972392500,0,1
2.972392750,1,1
2.972393250,0,0
2.972393750,1,0
2.972394250,0,1
2.972394750,1,1
2.972395250,0,1
2.972395750,1,1
2.972396250,0,0
2.972396750,1,0
2.972397250,0,0
2.972397750,1,0
2.972398250,0,0
2.972398750,1,0
2.972399250,0,1
2.972399750,1,1
2.972400250,0,1
2.972400750,1,1
2.972401250,0,0
2.972401750,1,0
2.972402250,0,0
2.972402750,1,0
2.972403000,0,0
2.972403250,0,1
2.972403500,1,1
2.972404000,0,0
2.972404250,0,1
2.972404500,1,1
2.972405000,0,1
2.972405500,1,1
2.972406000,0,0
2.972406500,1,0
2.972407000,0,0
2.972407500,1,0
2.972408000,0,1
2.972408500,1,1
2.972409000,0,0
2.972409500,1,0
2.972410000,0,1
2.972410500,1,1
2.972411000,0,0
2.972411500,1,0
2.972412000,0,0
2.972412500,1,0
2.972413000,0,1
2.972413250,1,1
2.972413750,0,0
2.972414000,0,1
2.972414250,1,1
2.972414750,0,0
